Species	Chemical Name	Freq-GHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-GHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_U (K)	Linelist
CH3CCHv=0	MethyAcetylene			204.69042190	5.0E-7	12(10)-11(10)	-5.28130		785.20071	CDMS
CH3CCHv=0	MethyAcetylene			204.76438690	5.0E-7	12(9)-11(9)	-4.62600		648.38125	CDMS
CH3CCHv=0	MethyAcetylene			204.83064330	5.0E-7	12(8)-11(8)	-4.64560		525.87946	CDMS
CH3CCHv=0	MethyAcetylene			204.88916620	5.0E-7	12(7)-11(7)	-4.41420		417.72327	CDMS
CH3CCHv=0	MethyAcetylene			204.93993130	5.0E-7	12(6)-11(6)	-3.92140		323.93756	CDMS
CH3CCHv=0	MethyAcetylene			204.98291860	5.0E-7	12(5)-11(5)	-4.06520		244.54362	CDMS
CH3CCHv=0	MethyAcetylene			205.01811370	5.0E-7	12(4)-11(4)	-3.93930		179.56001	CDMS
CH3CCHv=0	MethyAcetylene			205.04550060	5.0E-7	12(3)-11(3)	-3.54190		129.00155	CDMS
CH3CCHv=0	MethyAcetylene			205.06507020	5.0E-7	12(2)-11(2)	-3.77470		92.87990	CDMS
CH3CCHv=0	MethyAcetylene			205.07681640	5.0E-7	12(1)-11(1)	-3.73410		71.20369	CDMS
CH3CCHv=0	MethyAcetylene			205.08073220	5.0E-7	12(0)-11(0)	-3.72060		63.97766	CDMS
CH3CCHv=0	MethyAcetylene	221.74425380	2.0E-7			13(10)-12(10)	-5.06590		795.84279	CDMS
CH3CCHv=0	MethyAcetylene	221.82436150	2.0E-7			13(9)-12(9)	-4.46090		659.02707	CDMS
CH3CCHv=0	MethyAcetylene	221.89611930	1.0E-7			13(8)-12(8)	-4.50760		536.52871	CDMS
CH3CCHv=0	MethyAcetylene	221.95950000	1.0E-7			13(7)-12(7)	-4.29280		428.37563	CDMS
CH3CCHv=0	MethyAcetylene	222.01447950	1.0E-7			13(6)-12(6)	-3.81110		334.59257	CDMS
CH3CCHv=0	MethyAcetylene	222.06103650	1.0E-7			13(5)-12(5)	-3.96250		255.20081	CDMS
CH3CCHv=0	MethyAcetylene	222.09915320	1.0E-7			13(4)-12(4)	-3.84190		190.21907	CDMS
CH3CCHv=0	MethyAcetylene	222.12881490	1.0E-7			13(3)-12(3)	-3.44820		139.66202	CDMS
CH3CCHv=0	MethyAcetylene	222.15001000	1.0E-7			13(2)-12(2)	-3.68350		103.54146	CDMS
CH3CCHv=0	MethyAcetylene	222.16273040	1.0E-7			13(1)-12(1)	-3.64420		81.86572	CDMS
CH3CCHv=0	MethyAcetylene	222.16697110	1.0E-7			13(0)-12(0)	-3.63110		74.63985	CDMS
CH3CCHv=0	MethyAcetylene	238.88344090	2.0E-7			14(9)-13(9)	-4.32850		670.49165	CDMS
CH3CCHv=0	MethyAcetylene	238.96069520	1.0E-7			14(8)-13(8)	-4.39200		547.99701	CDMS
CH3CCHv=0	MethyAcetylene	239.02893080	1.0E-7			14(7)-13(7)	-4.18850		439.84719	CDMS
CH3CCHv=0	MethyAcetylene	239.08812160	1.0E-7			14(6)-13(6)	-3.71470		346.06691	CDMS
CH3CCHv=0	MethyAcetylene	239.13824480	1.0E-7			14(5)-13(5)	-3.87170		266.67763	CDMS
CH3CCHv=0	MethyAcetylene	239.17928120	1.0E-7			14(4)-13(4)	-3.75520		201.69776	CDMS
CH3CCHv=0	MethyAcetylene	239.21121490	1.0E-7			14(3)-13(3)	-3.36430		151.14226	CDMS
CH3CCHv=0	MethyAcetylene	239.23403360	1.0E-7			14(2)-13(2)	-3.60150		115.02278	CDMS
CH3CCHv=0	MethyAcetylene	239.24772830	1.0E-7			14(1)-13(1)	-3.56330		93.34766	CDMS
CH3CCHv=0	MethyAcetylene	239.25229380	1.0E-7			14(0)-13(0)	-3.55060		86.12210	CDMS
CH3CCHv=0	MethyAcetylene	255.94155730	2.0E-7			15(9)-14(9)	-4.21810		682.77485	CDMS
CH3CCHv=0	MethyAcetylene	256.02430300	1.0E-7			15(8)-14(8)	-4.29300		560.28421	CDMS
CH3CCHv=0	MethyAcetylene	256.09738890	1.0E-7			15(7)-14(7)	-4.09750		452.13778	CDMS
CH3CCHv=0	MethyAcetylene	256.16078710	1.0E-7			15(6)-14(6)	-3.62960		358.36059	CDMS
