Species	Chemical Name	Freq-GHz(rest frame,redshifted)	Freq Err(rest frame,redshifted)	Meas Freq-GHz(rest frame,redshifted)	Meas Freq Err(rest frame,redshifted)	Resolved QNs	CDMS/JPL Intensity	Lovas/AST Intensity	E_L (cm^-1)	Linelist
CH3OHvt=0-2	Methanol	190.00016500	1.6E-5			13(3,10)-14(-1,13)E,vt=0	-9.02910		184.03210	CDMS
CH3OHvt=0-2	Methanol	190.02796800	1.3E-5			3(-2,2)-3(-0,3)E,vt=0	-8.83210		18.80260	CDMS
CH3OHvt=0-2	Methanol	190.12397900	1.2E-5			4(-2,3)-4(-0,4)E,vt=0	-8.48350		25.25420	CDMS
CH3OHvt=0-2	Methanol	190.32846400	1.2E-5			5(-2,4)-5(-0,5)E,vt=0	-8.22630		33.31650	CDMS
CH3OHvt=0-2	Methanol	190.45203200	2.0E-5			20(-0,20)-19(-3,17)E,vt=0	-6.10820		339.72000	CDMS
CH3OHvt=0-2	Methanol	190.50566500	0.000325			8(-7,2)-9(-6,4),vt=1	0.00000		415.33700	CDMS
CH3OHvt=0-2	Methanol	190.50766400	2.8E-5			8(7,2)-9(6,4)E,vt=1	-5.92030		415.33650	CDMS
CH3OHvt=0-2	Methanol	190.69682500	1.1E-5			6(-2,5)-6(-0,6)E,vt=0	-8.02830		42.98780	CDMS
CH3OHvt=0-2	Methanol	191.29403000	1.1E-5			7(-2,6)-7(-0,7)E,vt=0	-7.87440		54.26640	CDMS
CH3OHvt=0-2	Methanol	191.33027400	0.000167			9(5,5)-8(2,6)E,vt=2	-11.72820		506.12030	CDMS
CH3OHvt=0-2	Methanol	191.40428000	1.7E-5			17(7,11)-18(6,12)A,vt=0	-8.39530		410.26600	CDMS
CH3OHvt=0-2	Methanol	191.40428200	1.7E-5			17(7,10)-18(6,13)A,vt=0	-8.39530		410.26600	CDMS
CH3OHvt=0-2	Methanol	191.73297800	1.4E-5			6(-3,4)-7(-2,6)E,vt=0	-4.56690		60.64730	CDMS
CH3OHvt=0-2	Methanol	191.81050300	4.0E-6			4(1,4)-3(1,3)A,vt=0	-4.14290		19.70310	CDMS
CH3OHvt=0-2	Methanol	192.19304900	1.1E-5			8(-2,7)-8(-0,8)E,vt=0	-7.75690		67.15030	CDMS
CH3OHvt=0-2	Methanol	192.37049900	8.0E-6			4(1,4)-3(1,3)A,vt=2	-5.10960		484.18530	CDMS
CH3OHvt=0-2	Methanol	192.70225800	7.0E-6			4(-0,4)-3(-0,3)E,vt=2	-5.15350		519.96200	CDMS
CH3OHvt=0-2	Methanol	192.73946700	5.0E-6			4(3,1)-3(3,0)A,vt=2	-5.39750		467.04210	CDMS
CH3OHvt=0-2	Methanol	192.73946700	5.0E-6			4(3,2)-3(3,1)A,vt=2	-5.39750		467.04210	CDMS
CH3OHvt=0-2	Methanol	192.75630600	6.0E-6			4(2,2)-3(2,1)E,vt=2	-5.15090		457.90280	CDMS
CH3OHvt=0-2	Methanol	192.75766000	8.0E-6			4(0,4)-3(0,3)A,vt=2	-4.82600		362.86270	CDMS
CH3OHvt=0-2	Methanol	192.76548200	5.0E-6			4(-3,2)-3(-3,1)E,vt=2	-5.35110		441.56710	CDMS
CH3OHvt=0-2	Methanol	192.76812300	5.0E-6			4(-2,3)-3(-2,2)E,vt=2	-5.06180		417.09960	CDMS
CH3OHvt=0-2	Methanol	192.77359400	6.0E-6			4(1,4)-3(1,3)E,vt=2	-4.88760		379.42460	CDMS
CH3OHvt=0-2	Methanol			192.77852000	5.0E-5	4(1,4)-3(1,3)++,vt=1	0.00000		235.71200	CDMS
CH3OHvt=0-2	Methanol	192.77858400	4.0E-6			4(1,4)-3(1,3)A,vt=1	-4.58780		235.71220	CDMS
CH3OHvt=0-2	Methanol			192.95270000	5.0E-5	4(-3,1)-3(-3,0),vt=1	0.00000		233.89600	CDMS
CH3OHvt=0-2	Methanol	192.95273500	4.0E-6			4(3,2)-3(3,1)E,vt=1	-4.91680		233.89570	CDMS
CH3OHvt=0-2	Methanol			192.95768000	5.0E-5	4(3,2)-3(3,1),vt=1	0.00000		299.77400	CDMS
CH3OHvt=0-2	Methanol	192.95773600	4.0E-6			4(-3,1)-3(-3,0)E,vt=1	-5.05010		299.77380	CDMS
CH3OHvt=0-2	Methanol			192.96210000	5.0E-5	4(-2,2)-3(-2,1),vt=1	0.00000		263.07400	CDMS
CH3OHvt=0-2	Methanol	192.96218500	4.0E-6			4(2,3)-3(2,2)E,vt=1	-4.73960		263.07390	CDMS
CH3OHvt=0-2	Methanol	192.96342400	4.0E-6			4(3,2)-3(3,1)A,vt=1	-5.02260		284.96790	CDMS
CH3OHvt=0-2	Methanol	192.96342600	4.0E-6			4(3,1)-3(3,0)A,vt=1	-5.02260		284.96790	CDMS
CH3OHvt=0-2	Methanol			192.96344500	5.0E-5	4(3,2)-3(3,1)++,vt=1	0.00000		284.96800	CDMS
CH3OHvt=0-2	Methanol			192.96344500	5.0E-5	4(3,2)-3(3,1)++,vt=1	0.00000		284.96800	CDMS
CH3OHvt=0-2	Methanol	192.96376800	4.0E-6			4(2,3)-3(2,2)A,vt=1	-4.64760		217.24530	CDMS
CH3OHvt=0-2	Methanol			192.96379200	5.0E-5	4(2,2)-3(2,1)++,vt=1	0.00000		217.24500	CDMS
CH3OHvt=0-2	Methanol			192.96553000	5.0E-5	4(2,3)-3(2,2)--,vt=1	0.00000		217.24500	CDMS
CH3OHvt=0-2	Methanol	192.96555600	4.0E-6			4(2,2)-3(2,1)A,vt=1	-4.64760		217.24530	CDMS
CH3OHvt=0-2	Methanol			192.97208000	5.0E-5	4(1,4)-3(1,3),vt=1	0.00000		212.24100	CDMS
CH3OHvt=0-2	Methanol	192.97211800	4.0E-6			4(-1,4)-3(-1,3)E,vt=1	-4.53970		212.24090	CDMS
CH3OHvt=0-2	Methanol			192.97368700	5.0E-5	4(2,3)-3(2,2),vt=1	0.00000		287.59700	CDMS
